                  Province/State        Country/Region       Lat       Long  1/21/20 22:00  1/22/20 12:00  1/23/20 12:00  1/24/20 0:00  1/24/20 12:00  1/25/20 0:00  1/25/20 12:00  1/25/20 22:00  1/26/20 11:00  1/26/20 23:00  1/27/20 9:00  1/27/20 19:00  1/27/20 20:30  1/28/20 13:00  1/28/20 18:00  1/28/20 23:00  1/29/20 13:30  1/29/20 14:30  1/29/20 21:00  1/30/20 11:00  1/31/20 14:00  2/1/20 10:00  2/2/20 21:00  2/3/20 21:00  2/4/20 9:40  2/4/20 22:00  2/5/20 9:00  2/5/20 23:00  2/6/20 9:00  2/6/20 14:20  2/7/20 20:13  2/7/20 22:50  2/8/20 10:24  2/8/20 23:04  2/9/20 10:30  2/9/20 23:20  2/10/20 10:30  2/10/20 19:30  2/11/20 10:50  2/11/20 20:44  2/12/20 10:20  2/12/20 22:00  2/13/20 10:00  2/13/20 21:15  2/14/20 11:23
13                         Hunan        Mainland China  27.61041  111.70880            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           1.0           1.0           1.0           1.0            1.0            1.0            1.0            2.0            2.0            2.0            2.0              2              2
14                Inner Mongolia        Mainland China  44.09448  113.94560            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
15                       Jiangsu        Mainland China  32.97027  119.46400            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
16                       Jiangxi        Mainland China  27.61401  115.72210            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0              1              1
17                         Jilin        Mainland China  43.66657  126.19170            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           1.0           1.0           1.0           1.0           1.0           1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0              1              1
18                      Liaoning        Mainland China  41.29284  122.60860            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            1.0            1.0            1.0              1              1
19                       Ningxia        Mainland China  37.26923  106.16550            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
20                       Qinghai        Mainland China  35.65945   96.02564            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
21                       Shaanxi        Mainland China  35.19165  108.87010            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
22                      Shandong        Mainland China  36.34377  118.15290            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           1.0           1.0           1.0            1.0            1.0            1.0            1.0            2.0            2.0            2.0              2              2
23                      Shanghai        Mainland China  31.20327  121.45540            NaN            NaN            NaN           NaN            NaN           NaN            NaN            1.0            1.0            1.0           1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0           1.0           1.0           1.0          1.0           1.0          1.0           1.0          1.0           1.0           1.0           1.0           1.0           1.0           1.0           1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0              1              1
24                        Shanxi        Mainland China  37.57769  112.29220            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
25                       Sichuan        Mainland China  30.61714  102.71030            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            1.0            1.0            1.0            1.0           1.0           1.0           1.0          1.0           1.0          1.0           1.0          1.0           1.0           1.0           1.0           1.0           1.0           1.0           1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0              1              1
26                       Tianjin        Mainland China  39.29362  117.33300            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          1.0           1.0          1.0           1.0           1.0           1.0           1.0           1.0           1.0           1.0            1.0            1.0            2.0            2.0            2.0            2.0            3.0              3              3
27                         Tibet        Mainland China  30.15340   88.78790            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
28                      Xinjiang        Mainland China  41.11981   85.17822            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            1.0            1.0              1              1
29                        Yunnan        Mainland China  24.97411  101.48680            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
30                      Zhejiang        Mainland China  29.18251  120.09850            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
31                     Hong Kong             Hong Kong  22.31930  114.16940            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           1.0          1.0           1.0          1.0           1.0           1.0           1.0           1.0           1.0           1.0           1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0              1              1
32                         Macau                 Macau  22.19870  113.54390            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
33                        Taiwan                Taiwan  23.69780  120.96050            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
34                   Seattle, WA                    US  47.75110 -120.74000            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
35                   Chicago, IL                    US  40.63310  -89.39850            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
36                     Tempe, AZ                    US  34.04890 -111.09400            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
37                           NaN                 Japan  35.67620  139.65030            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            1.0              1              1
38                           NaN              Thailand  13.75630  100.50180            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
39                           NaN           South Korea  37.56650  126.97800            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
40                           NaN             Singapore   1.35210  103.81980            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
41                           NaN               Vietnam  21.02780  105.83420            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
42                           NaN                France  46.22760    2.21370            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
43                           NaN                 Nepal  28.39490   84.12400            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
44                           NaN              Malaysia   4.21050  101.97580            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
45                   Toronto, ON                Canada  43.65320  -79.38320            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
46              British Columbia                Canada  49.28270 -123.12100            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
47                    Orange, CA                    US  33.78790 -117.85310            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
48               Los Angeles, CA                    US  34.05220 -118.24370            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
49               New South Wales             Australia -33.86880  151.20930            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
50                      Victoria             Australia -37.81360  144.96310            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
51                    Queensland             Australia -27.46980  153.02510            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
52                           NaN              Cambodia  12.56570  104.99100            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
53                           NaN             Sri Lanka   7.87310   80.77180            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
54                           NaN               Germany  51.16570   10.45150            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
55                           NaN               Finland  61.92410   25.74820            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
56                           NaN  United Arab Emirates  23.42410   53.84780            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
57                           NaN           Philippines  12.87970  121.77400            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           1.0           1.0          1.0           1.0          1.0           1.0          1.0           1.0           1.0           1.0           1.0           1.0           1.0           1.0            1.0            1.0            1.0            1.0            1.0            1.0            1.0              1              1
58                           NaN                 India  20.59370   78.96290            NaN            NaN            NaN           NaN            NaN           NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN           NaN           NaN           NaN          NaN           NaN          NaN           NaN          NaN           NaN           NaN           NaN           0.0           0.0           0.0           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0              0              0
